,Name,KeyName,KeyType,Value,Type,
?,MauiWinUIApplication.Current.Resources,,,{Microsoft.UI.Xaml.ResourceDictionary},Microsoft.UI.Xaml.ResourceDictionary,
?,MergedDictionaries,,,{System.Collections.Generic.IListImpl<Microsoft.UI.Xaml.ResourceDictionary>},System.Collections.Generic.IList<Microsoft.UI.Xaml.ResourceDictionary> {System.Collections.Generic.IListImpl<Microsoft.UI.Xaml.ResourceDictionary>},
Exp,Value/Key Index,KeyName,KeyType,Value,ValueType,TargetType/Value
,[0],"""BodyTextBlockFontSize""",object {string},14,object {double},14
?,[1],"""BaseTextBlockStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""TextBlock"" FullName = ""Microsoft.UI.Xaml.Controls.TextBlock""}"
,[2],"""TitleTextBlockFontSize""",object {string},28,object {double},28
?,[3],"""TitleTextBlockStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""TextBlock"" FullName = ""Microsoft.UI.Xaml.Controls.TextBlock""}"
?,[4],"""BodyTextBlockStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""TextBlock"" FullName = ""Microsoft.UI.Xaml.Controls.TextBlock""}"
,[5],"""CaptionTextBlockFontSize""",object {string},12,object {double},12
?,[6],"""CaptionTextBlockStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""TextBlock"" FullName = ""Microsoft.UI.Xaml.Controls.TextBlock""}"
?,[7],"""NavigationViewButtonHolderGridMargin""",object {string},"{0,4,0,4}",object {Microsoft.UI.Xaml.Thickness},"{0,4,0,4}"
,[8],"""NavigationBackButtonHeight""",object {string},36,object {double},36
,[9],"""NavigationBackButtonWidth""",object {string},40,object {double},40
?,[10],"""NavigationViewItemButtonMargin""",object {string},"{4,2,4,2}",object {Microsoft.UI.Xaml.Thickness},"{4,2,4,2}"
,[11],"""PaneToggleButtonHeight""",object {string},36,object {double},36
?,[12],"""ToolTipBorderPadding""",object {string},"{9,6,9,8}",object {Microsoft.UI.Xaml.Thickness},"{9,6,9,8}"
,[13],"""ToolTipMaxWidth""",object {string},320,object {double},320
